INFO 2025-01-27 21:29:30,064 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\email\mime\nonmultipart.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1737812481.150797
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\_libs\tslibs\base.cp313-win_amd64.pyd first seen with mtime 1737813515.904655
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\array_algos\masked_accumulations.py first seen with mtime 1737813515.2662604
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\asyncio\queues.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1737812480.5815957
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\wsgiref\headers.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\dataclasses.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\template\library.py first seen with mtime 1737812481.143586
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\numpy\linalg\_umath_linalg.cp313-win_amd64.pyd first seen with mtime 1737813513.533015
DEBUG 2025-01-27 21:29:30,382 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\wsgiref\util.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\io\formats\format.py first seen with mtime 1737813515.3358583
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\core\files\locks.py first seen with mtime 1737812481.0164096
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\methods\describe.py first seen with mtime 1737813515.2993698
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\indexes\api.py first seen with mtime 1737813515.2849083
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\nturl2path.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\strings\object_array.py first seen with mtime 1737813515.3093734
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\copyreg.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\groupby\categorical.py first seen with mtime 1737813515.2804184
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1737812479.6019645
DEBUG 2025-01-27 21:29:30,383 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\internals\base.py first seen with mtime 1737813515.29537
DEBUG 2025-01-27 21:29:30,384 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\io\json\_table_schema.py first seen with mtime 1737813515.3451033
DEBUG 2025-01-27 21:29:30,384 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\indexes\multi.py first seen with mtime 1737813515.2893698
DEBUG 2025-01-27 21:29:30,384 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\strings\accessor.py first seen with mtime 1737813515.308373
DEBUG 2025-01-27 21:29:30,384 autoreload File C:\dev\trade_accounting\trades\apps.py first seen with mtime 1737813570.0647442
DEBUG 2025-01-27 21:29:30,384 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\computation\eval.py first seen with mtime 1737813515.2724178
DEBUG 2025-01-27 21:29:30,384 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\db\backends\sqlite3\schema.py first seen with mtime 1737812481.068111
DEBUG 2025-01-27 21:29:30,384 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1737812481.0497127
DEBUG 2025-01-27 21:29:30,384 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\warnings.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,384 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\DLLs\_wmi.pyd first seen with mtime 1728282446.0
DEBUG 2025-01-27 21:29:30,384 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\indexers\objects.py first seen with mtime 1737813515.2834215
DEBUG 2025-01-27 21:29:30,384 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\template\exceptions.py first seen with mtime 1737812481.142586
DEBUG 2025-01-27 21:29:30,385 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\_libs\tslibs\timestamps.cp313-win_amd64.pyd first seen with mtime 1737813515.9287238
DEBUG 2025-01-27 21:29:30,385 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\rest_framework\utils\field_mapping.py first seen with mtime 1737887110.7320597
DEBUG 2025-01-27 21:29:30,385 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\_compression.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,385 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1737812481.1837287
DEBUG 2025-01-27 21:29:30,385 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\dis.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,385 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1737812481.0186727
DEBUG 2025-01-27 21:29:30,385 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\arrays\integer.py first seen with mtime 1737813515.2550218
DEBUG 2025-01-27 21:29:30,385 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\numpy\ma\core.py first seen with mtime 1737813513.5373442
DEBUG 2025-01-27 21:29:30,385 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\rest_framework\utils\formatting.py first seen with mtime 1737887110.733533
DEBUG 2025-01-27 21:29:30,386 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\compat\compressors.py first seen with mtime 1737813515.234644
DEBUG 2025-01-27 21:29:30,386 autoreload File C:\dev\trade_accounting\trade_accounting\urls.py first seen with mtime 1737962268.23101
DEBUG 2025-01-27 21:29:30,386 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\asyncio\streams.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,386 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\numpy\random\__init__.py first seen with mtime 1737813513.5837214
DEBUG 2025-01-27 21:29:30,386 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\contrib\auth\hashers.py first seen with mtime 1737812480.0452023
DEBUG 2025-01-27 21:29:30,386 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\_libs\tslibs\timedeltas.cp313-win_amd64.pyd first seen with mtime 1737813515.926727
DEBUG 2025-01-27 21:29:30,386 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\plotting\_core.py first seen with mtime 1737813515.3511026
DEBUG 2025-01-27 21:29:30,386 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\ops\missing.py first seen with mtime 1737813515.3023708
DEBUG 2025-01-27 21:29:30,386 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\plotting\_misc.py first seen with mtime 1737813515.3521037
DEBUG 2025-01-27 21:29:30,386 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1737812481.0058892
DEBUG 2025-01-27 21:29:30,386 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1737812480.1547472
DEBUG 2025-01-27 21:29:30,387 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1737812481.0935643
DEBUG 2025-01-27 21:29:30,387 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1737812479.606964
DEBUG 2025-01-27 21:29:30,387 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1737812481.0196748
DEBUG 2025-01-27 21:29:30,387 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\zipfile\__init__.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,387 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1737812481.1487167
DEBUG 2025-01-27 21:29:30,387 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\indexes\range.py first seen with mtime 1737813515.29037
DEBUG 2025-01-27 21:29:30,387 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\indexes\category.py first seen with mtime 1737813515.287224
DEBUG 2025-01-27 21:29:30,387 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\views\csrf.py first seen with mtime 1737812481.177706
DEBUG 2025-01-27 21:29:30,387 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1737812481.013404
DEBUG 2025-01-27 21:29:30,387 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\db\models\manager.py first seen with mtime 1737812481.08111
DEBUG 2025-01-27 21:29:30,387 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\dtypes\common.py first seen with mtime 1737813515.2764182
DEBUG 2025-01-27 21:29:30,388 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\numpy\_core\function_base.py first seen with mtime 1737813513.6667247
DEBUG 2025-01-27 21:29:30,388 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\lzma.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,388 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\groupby\__init__.py first seen with mtime 1737813515.2834215
DEBUG 2025-01-27 21:29:30,388 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\views\static.py first seen with mtime 1737812481.1787088
DEBUG 2025-01-27 21:29:30,388 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\io\parsers\readers.py first seen with mtime 1737813515.3481038
DEBUG 2025-01-27 21:29:30,388 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\template\context.py first seen with mtime 1737812481.1405823
DEBUG 2025-01-27 21:29:30,388 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\core\signals.py first seen with mtime 1737812481.0034313
DEBUG 2025-01-27 21:29:30,388 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\_libs\tslibs\nattype.cp313-win_amd64.pyd first seen with mtime 1737813515.9126515
DEBUG 2025-01-27 21:29:30,388 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\dtypes\generic.py first seen with mtime 1737813515.278418
DEBUG 2025-01-27 21:29:30,388 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\ops\docstrings.py first seen with mtime 1737813515.30137
DEBUG 2025-01-27 21:29:30,388 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\uuid.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,388 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\_libs\window\indexers.cp313-win_amd64.pyd first seen with mtime 1737813515.9383552
DEBUG 2025-01-27 21:29:30,389 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\io\api.py first seen with mtime 1737813515.3206446
DEBUG 2025-01-27 21:29:30,389 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\roperator.py first seen with mtime 1737813515.2490208
DEBUG 2025-01-27 21:29:30,389 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\re\_parser.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,389 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\encodings\aliases.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,389 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\arrays\sparse\__init__.py first seen with mtime 1737813515.2650447
DEBUG 2025-01-27 21:29:30,389 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\_numba\executor.py first seen with mtime 1737813515.3166451
DEBUG 2025-01-27 21:29:30,389 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1737812480.9950173
DEBUG 2025-01-27 21:29:30,389 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\numpy\_core\_internal.py first seen with mtime 1737813513.6785057
DEBUG 2025-01-27 21:29:30,389 autoreload File C:\dev\trade_accounting\trade_accounting\settings.py first seen with mtime 1737998473.4946234
DEBUG 2025-01-27 21:29:30,389 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1737812481.0801103
DEBUG 2025-01-27 21:29:30,389 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\email\quoprimime.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,390 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\io\clipboards.py first seen with mtime 1737813515.3206446
DEBUG 2025-01-27 21:29:30,390 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\array_algos\putmask.py first seen with mtime 1737813515.267411
DEBUG 2025-01-27 21:29:30,390 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\numpy\__config__.py first seen with mtime 1737813513.4178839
DEBUG 2025-01-27 21:29:30,390 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\asgiref\current_thread_executor.py first seen with mtime 1737812479.3537877
DEBUG 2025-01-27 21:29:30,390 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\email\encoders.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,390 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\email\parser.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,390 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\glob.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,390 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\json\encoder.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,390 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\views\decorators\common.py first seen with mtime 1737812481.180714
DEBUG 2025-01-27 21:29:30,391 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\asgiref\sync.py first seen with mtime 1737812479.3547902
DEBUG 2025-01-27 21:29:30,391 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\utils\module_loading.py first seen with mtime 1737812481.170923
DEBUG 2025-01-27 21:29:30,391 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\contrib\postgres\search.py first seen with mtime 1737812480.588714
DEBUG 2025-01-27 21:29:30,391 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\template\engine.py first seen with mtime 1737812481.142586
DEBUG 2025-01-27 21:29:30,391 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\_libs\json.cp313-win_amd64.pyd first seen with mtime 1737813515.8756552
DEBUG 2025-01-27 21:29:30,391 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pytz\tzfile.py first seen with mtime 1737813513.1434903
DEBUG 2025-01-27 21:29:30,391 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1737812479.9345436
DEBUG 2025-01-27 21:29:30,391 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\numpy\ma\__init__.py first seen with mtime 1737813513.541398
DEBUG 2025-01-27 21:29:30,391 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\groupby\indexing.py first seen with mtime 1737813515.282418
DEBUG 2025-01-27 21:29:30,392 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\DLLs\_ctypes.pyd first seen with mtime 1728282446.0
DEBUG 2025-01-27 21:29:30,392 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,392 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1737812480.0442033
DEBUG 2025-01-27 21:29:30,392 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\core\array_algos\datetimelike_accumulations.py first seen with mtime 1737813515.2650447
DEBUG 2025-01-27 21:29:30,392 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\pandas\io\orc.py first seen with mtime 1737813515.3226457
DEBUG 2025-01-27 21:29:30,392 autoreload File C:\Users\zhark\AppData\Local\Programs\Python\Python313\Lib\json\__init__.py first seen with mtime 1728282408.0
DEBUG 2025-01-27 21:29:30,392 autoreload File C:\dev\trade_accounting\.venv\Lib\site-packages\django\core\files\storage\handler.py first seen with mtime 1737812481.020672
